market_line,true_line,cover_probability,push_probability,loss_probability
-19,-19,0.4953000000000001,0.0094,0.4953000000000001
-19,-18.5,0.5000122380933505,0.00991471049934432,0.49002983818732054
-19,-18,0.4718000000000001,0.0102,0.5179999999999999
-19,-17.5,0.4289877619066499,0.01021028950065568,0.5608701618126795
-19,-17,0.3898999999999999,0.0099,0.6003000000000001
-19,-16.5,0.3682742142800505,0.00930663149803295,0.6224770145619619
-19,-16,0.3594999999999999,0.0088,0.6317000000000002
-19,-15.5,0.3540528809731476,0.00866318450721254,0.6372717799394734
-19,-15,0.34109999999999996,0.0085,0.6504
-19,-14.5,0.3144142618273589,0.00792813047311691,0.6776608656801447
-19,-14,0.28749999999999987,0.00729999999999999,0.7051999999999999
-19,-13.5,0.27421507171741644,0.0070242936003198,0.7187597573399473
-19,-13,0.2701,0.007,0.7229000000000001
-19,-12.5,0.26781295130297506,0.00703719512560385,0.725150104960066
-19,-12,0.26679999999999987,0.0071,0.7260999999999999
-19,-11.5,0.2664206230706831,0.00715192589726477,0.7264273228197884
-19,-11,0.25890000000000013,0.007,0.7341000000000001
-19,-10.5,0.2388420564142925,0.00651760128533707,0.7546406037607806
-19,-10,0.21750000000000003,0.006,0.7765
-19,-9.5,0.20663615127214735,0.00575266896138695,0.7876102621370897
-19,-9,0.20339999999999997,0.0057,0.7909
-19,-8.5,0.201400838497118,0.0056717228691151,0.7929308476908609
-19,-8,0.19470000000000004,0.0055,0.7998000000000001
-19,-7.5,0.18017299473938053,0.00509793956215261,0.8147163470994676
-19,-7,0.1655,0.0047,0.8298000000000002
-19,-6.5,0.15850718254536,0.00453651888227442,0.8370162639112693
-19,-6,0.1568,0.00449999999999999,0.8387999999999995
-19,-5.5,0.15619827507917944,0.00444348490874967,0.8394185972554544
-19,-5,0.15559999999999996,0.00439999999999999,0.8399999999999997
-19,-4.5,0.15408721713792212,0.00440204148272687,0.8414968470669112
-19,-4,0.14840000000000003,0.0043,0.8473000000000004
-19,-3.5,0.13667785636913204,0.00397334916034282,0.8593565144769013
-19,-3,0.125,0.0036,0.8714
-19,-2.5,0.11941385738554976,0.00337956187590181,0.8771895950254845
