Season,Week,Team,Spread Value,Offensive Power Rating,Offensive Pass EPA,Offensive Rush EPA,Offensive Run Rate Over Expected (%),Offensive Eckel Rate Over Expected (%),Offensive Points/Eckel ,Offensive Starting Field Position,Offensive Weighted EPA,Offensive Success Rate (%),Defensive Power Rating,Defensive Pass EPA,Defensive Rush EPA,Defensive Run Rate Over Expected (%),Defensive Eckel Rate Over Expected (%),Defensive Points/Eckel ,Defensive Starting Field Position,Defensive Weighted EPA,Defensive Success Rate (%)
2024,3,Florida,0.4887,28.04486,0.310320358,0.251459967,-0.010595784,0.097359857,4.5,72.7,2.549485137,0.469565217,27.55616,0.235839012,0.1180509,-8.196314212,0.109803874,5,81.75,-0.494790055,0.410447761
2024,3,Florida Atlantic,-8.45618,24.19218,-0.013528341,-0.059415987,-0.025053323,-0.014452255,1.666666667,84.375,-0.409164431,0.344262295,32.64836,-0.220770526,0.266337307,23.36169226,0.03793106,3.625,74.5,-0.46939334,0.383333333
2024,3,Florida Internati,-5.27262,25.21632,0.030093525,0.132440724,0.052219689,-0.06540549,5.833333333,67,1.338699915,0.336363636,30.48894,0.011746914,0.296475338,2.214426667,0.036984409,4.222222222,77.3,-0.675364652,0.452702703
2024,3,Florida State,-2.04627,26.47715,0.189236426,-0.050079598,-0.071868295,0.055990871,3.857142857,76.28571429,-0.144865988,0.353448276,28.52342,0.545205682,0.212051607,15.95661455,0.148170549,5,77.25,-0.002428117,0.462184874
2024,3,Fresno State,3.13648,28.91931,0.179816814,-0.040113077,-0.11966204,0.008927702,4.222222222,71.4,0.401361428,0.382113821,25.78283,0.128874699,0.086484618,-9.133082609,-0.057126684,5.857142857,72.81818182,-0.921626348,0.404761905
2024,3,Georgia,25.35633,39.77138,0.482996379,0.399530738,-0.166529888,0.257826462,5.909090909,70.46153846,4.676391919,0.5,14.41505,-0.209903351,-0.080814104,13.50181582,-0.082341602,1.2,83.57142857,-2.362734469,0.309278351
2024,2,Georgia Southern,-6.84073,27.11384,0.247702013,0.174089742,-0.118381235,0.077481898,6.111111111,74,1.63229593,0.366906475,33.95457,0.462408533,0.47488476,-0.7425778,0.211382953,5.615384615,78.5,0.925975189,0.507246377
2024,3,Georgia State,-5.88055,26.18563,0.194490133,0.06548853,-0.05498923,0.096731986,3,75.44444444,1.710555986,0.451851852,32.06618,0.433850986,0.287716392,-2.796052649,0.093030641,5.444444444,75,-0.60897299,0.414414414
2024,2,Georgia Tech,4.02727,30.54058,0.523181014,0.284249984,0.003112688,0.219726119,5.333333333,74.85714286,2.987882045,0.494382022,26.51331,0.319512561,0.040963535,-14.5386219,0.247532582,3.133333333,77.11111111,-0.441034722,0.457286432
2024,3,Hawai'i,-3.8138,23.93772,0.070767385,0.024379228,-0.197321852,-0.150909818,6.2,70.42857143,0.346055631,0.430769231,27.75152,0.06656428,-0.023291852,-9.102863841,-0.042991872,4.857142857,81.35714286,-1.977931546,0.307692308
