market_line,true_line,cover_probability,push_probability,loss_probability
-19.0,-19.0,0.4953000000000001,0.0094,0.4953000000000001
-19.0,-18.5,0.5000122380933505,0.00991471049934432,0.49002983818732054
-19.0,-18.0,0.4718000000000001,0.010200000000000004,0.5179999999999999
-19.0,-17.5,0.4289877619066499,0.010210289500655688,0.5608701618126795
-19.0,-17.0,0.3898999999999999,0.009900000000000006,0.6003000000000001
-19.0,-16.5,0.3682742142800505,0.009306631498032953,0.6224770145619619
-19.0,-16.0,0.3594999999999999,0.008800000000000007,0.6317000000000002
-19.0,-15.5,0.3540528809731476,0.00866318450721254,0.6372717799394734
-19.0,-15.0,0.34109999999999996,0.0085,0.6504
-19.0,-14.5,0.3144142618273589,0.007928130473116912,0.6776608656801447
-19.0,-14.0,0.28749999999999987,0.0072999999999999975,0.7051999999999999
-19.0,-13.5,0.27421507171741644,0.007024293600319808,0.7187597573399473
-19.0,-13.0,0.2701,0.007000000000000001,0.7229000000000001
-19.0,-12.5,0.26781295130297506,0.007037195125603858,0.725150104960066
-19.0,-12.0,0.26679999999999987,0.0071,0.7260999999999999
-19.0,-11.5,0.2664206230706831,0.00715192589726477,0.7264273228197884
-19.0,-11.0,0.25890000000000013,0.007000000000000004,0.7341000000000001
-19.0,-10.5,0.2388420564142925,0.00651760128533707,0.7546406037607806
-19.0,-10.0,0.21750000000000005,0.006000000000000001,0.7765
-19.0,-9.5,0.20663615127214738,0.005752668961386957,0.7876102621370897
-19.0,-9.0,0.20339999999999997,0.005700000000000002,0.7909
-19.0,-8.5,0.201400838497118,0.005671722869115107,0.7929308476908609
-19.0,-8.0,0.19470000000000004,0.0055000000000000005,0.7998000000000001
-19.0,-7.5,0.18017299473938053,0.005097939562152617,0.8147163470994676
-19.0,-7.0,0.1655,0.004700000000000002,0.8298000000000002
-19.0,-6.5,0.15850718254536,0.004536518882274428,0.8370162639112693
-19.0,-6.0,0.1568,0.004499999999999999,0.8387999999999995
-19.0,-5.5,0.15619827507917944,0.004443484908749674,0.8394185972554544
-19.0,-5.0,0.15559999999999996,0.004399999999999999,0.8399999999999997
-19.0,-4.5,0.15408721713792212,0.004402041482726876,0.8414968470669112
-19.0,-4.0,0.14840000000000003,0.004300000000000002,0.8473000000000004
-19.0,-3.5,0.13667785636913204,0.003973349160342829,0.8593565144769013
-19.0,-3.0,0.125,0.0036000000000000008,0.8714
-19.0,-2.5,0.11941385738554977,0.003379561875901816,0.8771895950254845
-19.0,-2.0,0.11789999999999996,0.003299999999999999,0.8788
-19.0,-1.5,0.1172042140886687,0.0032959033360499073,0.8795726054211598
-19.0,-1.0,0.11719999999999998,0.003300000000000001,0.8795999999999999
-19.0,-0.5,0.11813178625977523,0.0032618247798985546,0.8786074832898756
-19.0,0.0,0.11859999999999998,0.003200000000000001,0.8781000000000001
-19.0,0.5,0.11744364087223023,0.0031442975443558793,0.8793349614193372
-19.0,1.0,0.11610000000000001,0.0031000000000000003,0.8808
-19.0,1.5,0.11550615025130379,0.003048485042677932,0.8814776710327755
-19.0,2.0,0.11199999999999999,0.0028999999999999994,0.8850999999999998
-19.0,2.5,0.10275675812255462,0.0025992622849323917,0.8945668544495604
-19.0,3.0,0.09290000000000001,0.002299999999999999,0.9047000000000001
-19.0,3.5,0.0878793172584777,0.002154465817592495,0.9099674111689829
