team_id,btb_team_short,mascot,btb_team,cfbfastr_team,api_team,conference,logo
195,Ohio,Bobcats,Ohio Bobcats,Ohio Bobcats,Ohio Bobcats,Mid-American,http://a.espncdn.com/i/teamlogos/ncaa/500/195.png
194,Ohio State,Buckeyes,Ohio State Buckeyes,Ohio State Buckeyes,Ohio State Buckeyes,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png
201,Oklahoma,Sooners,Oklahoma Sooners,Oklahoma Sooners,Oklahoma Sooners,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png
197,Oklahoma State,Cowboys,Oklahoma State Cowboys,Oklahoma State Cowboys,Oklahoma State Cowboys,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png
295,Old Dominion,Monarchs,Old Dominion Monarchs,Old Dominion Monarchs,Old Dominion Monarchs,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/295.png
145,Ole Miss,Rebels,Ole Miss Rebels,Ole Miss Rebels,Ole Miss Rebels,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/145.png
2483,Oregon,Ducks,Oregon Ducks,Oregon Ducks,Oregon Ducks,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png
204,Oregon State,Beavers,Oregon State Beavers,Oregon State Beavers,Oregon State Beavers,Pac-12,http://a.espncdn.com/i/teamlogos/ncaa/500/204.png
213,Penn State,Nittany Lions,Penn State Nittany Lions,Penn State Nittany Lions,Penn State Nittany Lions,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png
221,Pittsburgh,Panthers,Pittsburgh Panthers,Pittsburgh Panthers,Pittsburgh Panthers,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/221.png
2509,Purdue,Boilermakers,Purdue Boilermakers,Purdue Boilermakers,Purdue Boilermakers,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png
242,Rice,Owls,Rice Owls,Rice Owls,Rice Owls,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/242.png
164,Rutgers,Scarlet Knights,Rutgers Scarlet Knights,Rutgers Scarlet Knights,Rutgers Scarlet Knights,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png
2534,Sam Houston State,Bearkats,Sam Houston State Bearkats,Sam Houston State Bearkats,Sam Houston State Bearkats,Conference USA,http://a.espncdn.com/i/teamlogos/ncaa/500/2534.png
21,San Diego State,Aztecs,San Diego State Aztecs,San Diego State Aztecs,San Diego State Aztecs,Mountain West,http://a.espncdn.com/i/teamlogos/ncaa/500/21.png
23,San Jos̩ State,Spartans,San Jose State Spartans,San Jose State Spartans,San Jose State Spartans,Mountain West,http://a.espncdn.com/i/teamlogos/ncaa/500/23.png
2567,SMU,Mustangs,SMU Mustangs,SMU Mustangs,SMU Mustangs,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
6,South Alabama,Jaguars,South Alabama Jaguars,South Alabama Jaguars,NA,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/6.png
2579,South Carolina,Gamecocks,South Carolina Gamecocks,South Carolina Gamecocks,South Carolina Gamecocks,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png
58,South Florida,Bulls,South Florida Bulls,South Florida Bulls,South Florida Bulls,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/58.png
2572,Southern Mississippi,Golden Eagles,Southern Mississippi Golden Eagles,Southern Mississippi Golden Eagles,Southern Mississippi Golden Eagles,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png
24,Stanford,Cardinal,Stanford Cardinal,Stanford Cardinal,Stanford Cardinal,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png
183,Syracuse,Orange,Syracuse Orange,Syracuse Orange,Syracuse Orange,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/183.png
2628,TCU,Horned Frogs,TCU Horned Frogs,TCU Horned Frogs,TCU Horned Frogs,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png
218,Temple,Owls,Temple Owls,Temple Owls,Temple Owls,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/218.png
2633,Tennessee,Volunteers,Tennessee Volunteers,Tennessee Volunteers,Tennessee Volunteers,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png
245,Texas A&M,Aggies,Texas A&M Aggies,Texas AM Aggies,Texas A&M Aggies,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png
251,Texas,Longhorns,Texas Longhorns,Texas Longhorns,Texas Longhorns,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png
326,Texas State,Bobcats,Texas State Bobcats,Texas State Bobcats,Texas State Bobcats,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/326.png
2641,Texas Tech,Red Raiders,Texas Tech Red Raiders,Texas Tech Red Raiders,Texas Tech Red Raiders,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png
2649,Toledo,Rockets,Toledo Rockets,Toledo Rockets,Toledo Rockets,Mid-American,http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png
2653,Troy,Trojans,Troy Trojans,Troy Trojans,Troy Trojans,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png
2655,Tulane,Green Wave,Tulane Green Wave,Tulane Green Wave,Tulane Green Wave,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png
202,Tulsa,Golden Hurricane,Tulsa Golden Hurricane,Tulsa Golden Hurricane,NA,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/202.png
5,UAB,Blazers,UAB Blazers,UAB Blazers,NA,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/5.png
2116,UCF,Knights,UCF Knights,UCF Knights,UCF Knights,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png
26,UCLA,Bruins,UCLA Bruins,UCLA Bruins,UCLA Bruins,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/26.png
41,Connecticut,Huskies,UConn Huskies,Connecticut Huskies,NA,FBS Independents,http://a.espncdn.com/i/teamlogos/ncaa/500/41.png
2433,Louisiana Monroe,Warhawks,UL Monroe Warhawks,Louisiana Monroe Warhawks,NA,Sun Belt,http://a.espncdn.com/i/teamlogos/ncaa/500/2433.png
2439,UNLV,Rebels,UNLV Rebels,UNLV Rebels,UNLV Rebels,Mountain West,http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png
30,USC,Trojans,USC Trojans,USC Trojans,USC Trojans,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/30.png
328,Utah State,Aggies,Utah State Aggies,Utah State Aggies,Utah State Aggies,Mountain West,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png
254,Utah,Utes,Utah Utes,Utah Utes,Utah Utes,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png
2638,UTEP,Miners,UTEP Miners,UTEP Miners,UTEP Miners,Conference USA,http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png
2636,UT San Antonio,Roadrunners,UTSA Roadrunners,UT San Antonio Roadrunners,UTSA Roadrunners,American Athletic,http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png
238,Vanderbilt,Commodores,Vanderbilt Commodores,Vanderbilt Commodores,Vanderbilt Commodores,SEC,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
258,Virginia,Cavaliers,Virginia Cavaliers,Virginia Cavaliers,Virginia Cavaliers,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/258.png
259,Virginia Tech,Hokies,Virginia Tech Hokies,Virginia Tech Hokies,Virginia Tech Hokies,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/259.png
154,Wake Forest,Demon Deacons,Wake Forest Demon Deacons,Wake Forest Demon Deacons,Wake Forest Demon Deacons,ACC,http://a.espncdn.com/i/teamlogos/ncaa/500/154.png
264,Washington,Huskies,Washington Huskies,Washington Huskies,Washington Huskies,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/264.png
265,Washington State,Cougars,Washington State Cougars,Washington State Cougars,Washington State Cougars,Pac-12,http://a.espncdn.com/i/teamlogos/ncaa/500/265.png
277,West Virginia,Mountaineers,West Virginia Mountaineers,West Virginia Mountaineers,West Virginia Mountaineers,Big 12,http://a.espncdn.com/i/teamlogos/ncaa/500/277.png
98,Western Kentucky,Hilltoppers,Western Kentucky Hilltoppers,Western Kentucky Hilltoppers,Western Kentucky Hilltoppers,Conference USA,http://a.espncdn.com/i/teamlogos/ncaa/500/98.png
2711,Western Michigan,Broncos,Western Michigan Broncos,Western Michigan Broncos,Western Michigan Broncos,Mid-American,http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png
275,Wisconsin,Badgers,Wisconsin Badgers,Wisconsin Badgers,Wisconsin Badgers,Big Ten,http://a.espncdn.com/i/teamlogos/ncaa/500/275.png
2751,Wyoming,Cowboys,Wyoming Cowboys,Wyoming Cowboys,Wyoming Cowboys,Mountain West,http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png
