Drive_Bin,Market_Total,True_Total,Over_probability,Under_probability,Push_probability
1,31.0,30.5,0.50661353,0.47001823,0.02336825
1,31.0,31.0,0.51681064,0.45987458,0.02331478
1,31.0,31.5,0.52701873,0.44973472,0.02324655
1,31.0,32.0,0.53723064,0.43960576,0.02316361
1,31.0,32.5,0.54743917,0.42949483,0.023066
1,31.0,33.0,0.55763711,0.41940907,0.02295381
1,31.0,33.5,0.56781724,0.40935559,0.02282717
1,31.0,34.0,0.57797231,0.39934146,0.02268623
1,31.0,34.5,0.58809513,0.38937369,0.02253117
1,31.0,35.0,0.59817854,0.37945925,0.02236221
1,31.0,35.5,0.60821542,0.369605,0.02217958
1,31.0,36.0,0.61819874,0.3598177,0.02198356
1,31.0,36.5,0.62812155,0.35010401,0.02177444
1,31.0,37.0,0.637977,0.34047043,0.02155257
1,31.0,37.5,0.64775836,0.33092335,0.02131829
1,31.0,38.0,0.65745905,0.32146897,0.02107198
1,31.0,38.5,0.66707263,0.31211332,0.02081405
1,31.0,39.0,0.67659282,0.30286226,0.02054492
1,31.0,39.5,0.68601351,0.29372144,0.02026506
1,31.0,40.0,0.6953288,0.28469629,0.01997491
1,31.0,40.5,0.70453298,0.27579203,0.01967499
1,31.0,41.0,0.71362057,0.26701365,0.01936579
1,31.5,21.5,0.33243426,0.66756574,0.0
1,31.5,22.0,0.34134889,0.65865111,0.0
1,31.5,22.5,0.35037965,0.64962035,0.0
1,31.5,23.0,0.35952241,0.64047759,0.0
1,31.5,23.5,0.36877282,0.63122718,0.0
1,31.5,24.0,0.37812626,0.62187374,0.0
1,31.5,24.5,0.38757792,0.61242208,0.0
1,31.5,25.0,0.39712273,0.60287727,0.0
1,31.5,25.5,0.4067554,0.5932446,0.0
1,31.5,26.0,0.41647044,0.58352956,0.0
1,31.5,26.5,0.42626216,0.57373784,0.0
1,31.5,27.0,0.43612466,0.56387534,0.0
1,31.5,27.5,0.44605187,0.55394813,0.0
1,31.5,28.0,0.45603754,0.54396246,0.0
1,31.5,28.5,0.46607526,0.53392474,0.0
1,31.5,29.0,0.47615846,0.52384154,0.0
1,31.5,29.5,0.48628047,0.51371953,0.0
