week,game,team,logo,last_update_api,model_prediction,market_line,market_price,cover_probability,edge,best_book,best_line,best_price,best_cover_probability,best_edge
7,Clemson@NA,Clemson,http://a.espncdn.com/i/teamlogos/ncaa/500/228.png,2025-10-06T14:07:03Z,-14,-14,-110,0.47252741,-0.051282113809523855,FanDuel,-13.5,-118,0.49255789,-0.04872651366972475
7,Miami (OH)@Akron,Miami (OH),http://a.espncdn.com/i/teamlogos/ncaa/500/193.png,2025-10-06T14:07:03Z,-13,-10,-110,0.52694182,0.0031322961904761693,Fanatics,-10,-105,0.52694182,0.014746698048780482
7,Fresno State@Colorado State,Fresno State,http://a.espncdn.com/i/teamlogos/ncaa/500/278.png,2025-10-06T14:07:03Z,-6,-6.5,-115,0.47994224,-0.05494148093023249,FanDuel,-6.5,-110,0.47994224,-0.043867283809523816
7,Toledo@NA,Toledo,http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,2025-10-06T14:07:03Z,-12,-9.5,-110,0.53065832,0.006848796190476181,FanDuel,-9.5,-110,0.53065832,0.006848796190476181
7,Louisiana Tech@Kennesaw State,Louisiana Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,2025-10-06T14:07:03Z,-3.5,-6,-110,0.43049383,-0.09331569380952381,Fanatics,-6.5,-110,0.43049383,-0.09331569380952381
7,Nebraska@Maryland,Nebraska,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png,2025-10-06T14:07:03Z,-8.5,-6.5,-110,0.52980271,0.005993186190476174,FanDuel,-6.5,-105,0.52980271,0.017607588048780487
7,San Diego State@Nevada,San Diego State,http://a.espncdn.com/i/teamlogos/ncaa/500/21.png,2025-10-06T14:07:03Z,-8,-6.5,-120,0.51983393,-0.025620615454545415,BetRivers,-6.5,-117,0.51983393,-0.019336576912442394
7,Iowa@Wisconsin,Iowa,http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,2025-10-06T14:07:03Z,-5.5,-3.5,-110,0.52512033,0.001310806190476188,BetRivers,-3.5,-110,0.52512033,0.001310806190476188
7,Liberty@UTEP,Liberty,http://a.espncdn.com/i/teamlogos/ncaa/500/2335.png,2025-10-06T14:07:03Z,-4.5,-2.5,-110,0.54366007,0.019850546190476215,DraftKings,-2.5,-105,0.54366007,0.03146494804878053
7,UMass@NA,UMass,http://a.espncdn.com/i/teamlogos/ncaa/500/113.png,2025-10-06T14:07:03Z,1.5,3,-108,0.51226222,-0.006968549230769283,FanDuel,2.5,-105,0.51226222,6.709804878046732e-5
7,Arizona State@Utah,Arizona State,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png,2025-10-06T14:07:03Z,4.5,5.5,-110,0.53281386,0.009004336190476137,DraftKings,5.5,-110,0.53281386,0.009004336190476137
7,Florida@Texas A&M,Florida,http://a.espncdn.com/i/teamlogos/ncaa/500/57.png,2025-10-06T14:07:03Z,8.5,7.5,-110,0.50591429,-0.017895233809523847,FanDuel,7.5,-108,0.50591429,-0.013316479230769285
7,South Carolina@LSU,South Carolina,http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,2025-10-06T14:07:03Z,8.5,10,-109,0.53777286,0.016241759521531174,FanDuel,9.5,-102,0.53777286,0.032822364950495064
7,Charlotte@Army,Charlotte,http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png,2025-10-06T14:07:03Z,14.5,17.5,-110,0.5748785,0.05106897619047612,FanDuel,17.5,-110,0.5748785,0.05106897619047612
7,Louisiana@James Madison,Louisiana,http://a.espncdn.com/i/teamlogos/ncaa/500/309.png,2025-10-06T14:07:03Z,20.5,18,-110,0.45274856,-0.07106096380952381,DraftKings,17.5,-105,0.45274856,-0.0594465619512195
7,Northwestern@Penn State,Northwestern,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png,2025-10-06T14:07:03Z,23,21.5,-110,0.48155493,-0.042254593809523844,FanDuel,22.5,-110,0.49959662,-0.024212903809523845
7,Ohio State@Illinois,Ohio State,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png,2025-10-06T14:07:03Z,-16,-16.5,-105,0.47668735,-0.03550777195121951,BetRivers,-15.5,-110,0.49220954,-0.031599983809523835
7,Old Dominion@Marshall,Old Dominion,http://a.espncdn.com/i/teamlogos/ncaa/500/295.png,2025-10-06T14:07:03Z,-10.5,-14,-110,0.4116165,-0.11219302380952384,FanDuel,-14.5,-104,0.4116165,-0.09818742156862742
7,Navy@Temple,Navy,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,2025-10-06T14:07:03Z,-7.5,-8.5,-110,0.45761272,-0.06619680380952386,DraftKings,-7.5,-115,0.47302868,-0.06185504093023253
7,Iowa State@Colorado,Iowa State,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png,2025-10-06T14:07:03Z,-1,-3.5,-110,0.43745364,-0.08635588380952386,FanDuel,-3.5,-110,0.43745364,-0.08635588380952386
7,Georgia@Auburn,Georgia,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png,2025-10-06T14:07:03Z,-6,-4.5,100,0.51648638,0.016486380000000023,DraftKings,-3.5,-105,0.53503122,0.022836098048780507
7,Alabama@Missouri,Alabama,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png,2025-10-06T14:07:03Z,-3.5,-3,-110,0.4801296,-0.043679923809523846,FanDuel,-3.5,-104,0.4801296,-0.029674321568627426
7,App State@Georgia State,App State,http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,2025-10-06T14:07:03Z,-4,-3,-110,0.48871327,-0.03509625380952386,FanDuel,-2.5,-120,0.52730679,-0.01814775545454539
7,TCU@Kansas State,TCU,http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,2025-10-06T14:07:03Z,-1.5,-1.5,-110,0.49960995,-0.02419957380952381,BetMGM,-1.5,-105,0.49960995,-0.012585171951219498
7,Wake Forest@Oregon State,Wake Forest,http://a.espncdn.com/i/teamlogos/ncaa/500/154.png,2025-10-06T14:07:03Z,-2,-2.5,-110,0.49303829,-0.030771233809523846,FanDuel,-2.5,-108,0.49303829,-0.026192479230769283
7,BYU@Arizona,BYU,http://a.espncdn.com/i/teamlogos/ncaa/500/252.png,2025-10-06T14:07:03Z,-4,-2.5,-108,0.53378365,0.01455288076923078,FanDuel,-1.5,-115,0.55043767,0.015553949069767481
7,Utah State@Hawai'i,Utah State,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png,2025-10-06T14:07:03Z,1.5,1.5,-110,0.49752939,-0.02628013380952382,FanDuel,1.5,-110,0.49752939,-0.02628013380952382
7,Michigan@USC,Michigan,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png,2025-10-06T14:07:03Z,2,2.5,-112,0.50383027,-0.0244716167924528,BetMGM,2.5,-110,0.50383027,-0.01997925380952381
7,Oklahoma@Texas,Oklahoma,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png,2025-10-06T14:07:03Z,3.5,2.5,-108,0.4726442,-0.04658656923076926,FanDuel,2.5,-105,0.4726442,-0.03955092195121951
7,East Carolina@Tulane,East Carolina,http://a.espncdn.com/i/teamlogos/ncaa/500/151.png,2025-10-06T14:07:03Z,6,7,-114,0.5213544,-0.011355880373831728,FanDuel,6.5,102,0.5213544,0.02630489504950495
7,Rutgers@Washington,Rutgers,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png,2025-10-06T14:06:55Z,7.5,10,-110,0.56143196,0.037622436190476116,BetRivers,10.5,-113,0.58154027,0.051023838075117345
7,Pittsburgh@Florida State,Pittsburgh,http://a.espncdn.com/i/teamlogos/ncaa/500/221.png,2025-10-06T14:07:03Z,6.5,9.5,-109,0.57858519,0.057054089521531126,FanDuel,9.5,-105,0.57858519,0.06639006804878045
7,Indiana@Oregon,Indiana,http://a.espncdn.com/i/teamlogos/ncaa/500/84.png,2025-10-06T14:07:03Z,5.5,8.5,-115,0.58281698,0.04793325906976753,FanDuel,8.5,-110,0.58281698,0.059007456190476204
7,Purdue@Minnesota,Purdue,http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,2025-10-06T14:07:03Z,7.5,7.5,-110,0.53298478,0.009175256190476211,DraftKings,7.5,-108,0.53298478,0.013754010769230773
7,Troy@Texas State,Troy,http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,2025-10-06T14:07:03Z,8,9.5,-108,0.55280225,0.03357148076923078,FanDuel,9.5,-102,0.55280225,0.047851754950495096
7,UCF@Cincinnati,UCF,http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,2025-10-06T14:07:03Z,11,10.5,-110,0.52079084,-0.003018683809523859,FanDuel,10.5,-110,0.52079084,-0.003018683809523859
7,Virginia Tech@Georgia Tech,Virginia Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/259.png,2025-10-06T14:07:03Z,13.5,15,-110,0.54191626,0.018106736190476203,FanDuel,14.5,-110,0.54191626,0.018106736190476203
7,Kansas@Texas Tech,Kansas,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,2025-10-06T14:07:03Z,13,14,-110,0.52626846,0.002458936190476213,FanDuel,13.5,-102,0.52626846,0.021317964950495094
7,New Mexico@Boise State,New Mexico,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png,2025-10-06T14:07:03Z,17.5,16.5,-110,0.49898575,-0.02482377380952383,DraftKings,16.5,-105,0.49898575,-0.013209371951219517
7,Stanford@SMU,Stanford,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png,2025-10-06T14:07:03Z,20,19.5,-110,0.50181288,-0.02199664380952382,FanDuel,19.5,-110,0.50181288,-0.02199664380952382
7,Washington State@Ole Miss,Washington State,http://a.espncdn.com/i/teamlogos/ncaa/500/265.png,2025-10-06T14:07:03Z,33,32.5,-110,0.49354009,-0.03026943380952385,BetRivers,33.5,-113,0.50951534,-0.021001091924882642
