Total_Bin,Market_Spread,True_Spread,Cover_probability,NoCover_probability,Push_probability
3,-59.0,-63.0,0.55601147,0.42662102,0.01736751
3,-59.0,-62.5,0.54754976,0.43502674,0.0174235
3,-59.0,-62.0,0.53906569,0.44346264,0.01747167
3,-59.0,-61.5,0.53056307,0.45192497,0.01751196
3,-59.0,-61.0,0.52204577,0.46040992,0.01754431
3,-59.0,-60.5,0.51351768,0.46891366,0.01756867
3,-59.0,-60.0,0.50498267,0.47743232,0.017585
3,-59.0,-59.5,0.49644466,0.48596204,0.01759329
3,-59.0,-59.0,0.48790756,0.49449892,0.01759352
3,-59.0,-58.5,0.47937528,0.50303904,0.01758568
3,-59.0,-58.0,0.47085171,0.51157851,0.01756979
3,-59.0,-57.5,0.46234075,0.5201134,0.01754585
3,-59.0,-57.0,0.45384627,0.52863981,0.01751392
3,-59.0,-56.5,0.44537213,0.53715385,0.01747402
3,-59.0,-56.0,0.43692216,0.54565163,0.01742621
3,-59.0,-55.5,0.42850015,0.5541293,0.01737055
3,-59.0,-55.0,0.42010986,0.56258303,0.01730711
3,-59.0,-54.5,0.411755,0.57100901,0.01723599
3,-59.0,-54.0,0.40343924,0.57940349,0.01715727
3,-59.0,-53.5,0.39516621,0.58776273,0.01707107
3,-59.0,-53.0,0.38693945,0.59608306,0.01697748
3,-59.0,-52.5,0.37876249,0.60436087,0.01687665
3,-59.0,-52.0,0.37063873,0.61259257,0.0167687
3,-59.0,-51.5,0.36257157,0.62077466,0.01665377
3,-59.0,-51.0,0.35456427,0.6289037,0.01653202
3,-59.0,-50.5,0.34662007,0.63697632,0.01640361
3,-59.0,-50.0,0.33874209,0.64498921,0.0162687
3,-59.0,-49.5,0.33093337,0.65293915,0.01612748
3,-59.0,-49.0,0.32319688,0.660823,0.01598011
3,-58.5,-68.5,0.66282412,0.33717588,0.0
3,-58.5,-68.0,0.65498365,0.34501635,0.0
3,-58.5,-67.5,0.64707535,0.35292465,0.0
3,-58.5,-67.0,0.63910227,0.36089773,0.0
3,-58.5,-66.5,0.63106756,0.36893244,0.0
3,-58.5,-66.0,0.62297445,0.37702555,0.0
3,-58.5,-65.5,0.61482623,0.38517377,0.0
3,-58.5,-65.0,0.60662628,0.39337372,0.0
3,-58.5,-64.5,0.59837804,0.40162196,0.0
3,-58.5,-64.0,0.59008502,0.40991498,0.0
3,-58.5,-63.5,0.58175079,0.41824921,0.0
3,-58.5,-63.0,0.57337898,0.42662102,0.0
3,-58.5,-62.5,0.56497326,0.43502674,0.0
3,-58.5,-62.0,0.55653736,0.44346264,0.0
3,-58.5,-61.5,0.54807503,0.45192497,0.0
3,-58.5,-61.0,0.53959008,0.46040992,0.0
3,-58.5,-60.5,0.53108634,0.46891366,0.0
3,-58.5,-60.0,0.52256768,0.47743232,0.0
3,-58.5,-59.5,0.51403796,0.48596204,0.0
3,-58.5,-59.0,0.50550108,0.49449892,0.0
3,-58.5,-58.5,0.49696096,0.50303904,0.0
3,-58.5,-58.0,0.48842149,0.51157851,0.0
3,-58.5,-57.5,0.4798866,0.5201134,0.0
3,-58.5,-57.0,0.47136019,0.52863981,0.0
3,-58.5,-56.5,0.46284615,0.53715385,0.0
3,-58.5,-56.0,0.45434837,0.54565163,0.0
3,-58.5,-55.5,0.4458707,0.5541293,0.0
3,-58.5,-55.0,0.43741697,0.56258303,0.0
3,-58.5,-54.5,0.42899099,0.57100901,0.0
3,-58.5,-54.0,0.42059651,0.57940349,0.0
3,-58.5,-53.5,0.41223727,0.58776273,0.0
3,-58.5,-53.0,0.40391694,0.59608306,0.0
3,-58.5,-52.5,0.39563913,0.60436087,0.0
3,-58.5,-52.0,0.38740743,0.61259257,0.0
3,-58.5,-51.5,0.37922534,0.62077466,0.0
3,-58.5,-51.0,0.3710963,0.6289037,0.0
3,-58.5,-50.5,0.36302368,0.63697632,0.0
3,-58.5,-50.0,0.35501079,0.64498921,0.0
3,-58.5,-49.5,0.34706085,0.65293915,0.0
3,-58.5,-49.0,0.339177,0.660823,0.0
3,-58.5,-48.5,0.33136229,0.66863771,0.0
3,-58.0,-68.0,0.65498365,0.32956303,0.01545332
3,-58.0,-67.5,0.64707535,0.33733639,0.01558827
3,-58.0,-67.0,0.63910227,0.34518051,0.01571722
3,-58.0,-66.5,0.63106756,0.35309243,0.01584001
3,-58.0,-66.0,0.62297445,0.36106908,0.01595648
3,-58.0,-65.5,0.61482623,0.36910731,0.01606646
3,-58.0,-65.0,0.60662628,0.37720391,0.01616981
3,-58.0,-64.5,0.59837804,0.38535556,0.0162664
3,-58.0,-64.0,0.59008502,0.39355889,0.01635609
3,-58.0,-63.5,0.58175079,0.40181046,0.01643875
3,-58.0,-63.0,0.57337898,0.41010674,0.01651428
